month,zipcode,avg_response_time_hours
2024-12-01,10001,295.3949871794872
2024-12-01,10002,402.1459314703925
2024-12-01,10003,283.4446521739131
2024-12-01,10004,102.61186714975845
2024-12-01,10009,395.6094667783361
2024-12-01,10010,399.7237770562771
2024-12-01,10011,196.8716
2024-12-01,10012,191.59871387871388
2024-12-01,10013,164.95003472222223
2024-12-01,10014,86.64158005914659
2024-12-01,10016,538.5863273195877
2024-12-01,10017,182.83845738942827
2024-12-01,10018,199.90463768115941
2024-12-01,10019,170.05230555555553
2024-12-01,10021,349.1933086917563
2024-12-01,10022,350.5263347457627
2024-12-01,10023,1657.3968550724637
2024-12-01,10024,242.95687613843353
2024-12-01,10025,253.95461595824014
2024-12-01,10026,418.0463768115942
2024-12-01,10027,252.87793341213558
2024-12-01,10028,254.12515760441292
2024-12-01,10029,414.8132563977972
2024-12-01,10030,287.46803201506594
2024-12-01,10031,427.33353767560664
2024-12-01,10032,421.2334164639092
2024-12-01,10033,407.541849286314
2024-12-01,10034,253.38827831890333
2024-12-01,10035,417.6716582854406
2024-12-01,10036,294.4382497741644
2024-12-01,10037,684.0127169505272
2024-12-01,10038,262.4869675925926
2024-12-01,10039,468.78110404040405
2024-12-01,10040,366.9481921101774
2024-12-01,10065,799.3928325508607
2024-12-01,10075,268.3277937420179
2024-12-01,10128,785.98533436214
2024-12-01,10301,155.18864890400604
2024-12-01,10303,171.15127710027102
2024-12-01,10304,227.57088084795325
2024-12-01,10305,106.76294736842105
2024-12-01,10306,131.94217836257312
2024-12-01,10309,72.22796296296296
2024-12-01,10310,152.8016695906433
2024-12-01,10312,138.77523911798394
2024-12-01,10314,149.00831944444445
2024-12-01,10451,181.99622222222223
2024-12-01,10452,222.9326673998045
2024-12-01,10453,224.34949379178605
2024-12-01,10454,251.1356788297173
2024-12-01,10455,177.92413095238095
2024-12-01,10456,230.17195673549656
2024-12-01,10457,227.5372631625286
2024-12-01,10458,237.05546867527497
2024-12-01,10459,229.41851570612667
2024-12-01,10460,188.16051544860366
2024-12-01,10461,192.80866416978776
2024-12-01,10462,251.48413825098586
2024-12-01,10463,187.87264968336214
2024-12-01,10465,184.61448914431674
2024-12-01,10466,14.420200863567047
2024-12-01,10467,169.1210240922741
2024-12-01,10468,198.758297427399
2024-12-01,10469,105.40422870140613
2024-12-01,10470,172.35402777777776
2024-12-01,10471,297.4415303497942
2024-12-01,10472,223.60961700336702
2024-12-01,10473,171.05551587301588
2024-12-01,10474,124.39180751173708
2024-12-01,11101,127.05657462852074
2024-12-01,11102,169.55901379567487
2024-12-01,11103,73.3182982603816
2024-12-01,11104,290.60327107279693
2024-12-01,11105,42.21944071588367
2024-12-01,11106,94.76491347905284
2024-12-01,11201,181.04757283633248
2024-12-01,11203,214.33133537928862
2024-12-01,11204,96.7035875090777
2024-12-01,11205,105.38031069958848
2024-12-01,11206,405.1079592123769
2024-12-01,11207,234.6254779577148
2024-12-01,11208,111.43854148343594
2024-12-01,11209,163.71910618279568
2024-12-01,11210,159.2707223969252
2024-12-01,11211,285.44452947845804
2024-12-01,11212,232.07642712842713
2024-12-01,11213,187.42141341991342
2024-12-01,11214,94.19254466778337
2024-12-01,11215,263.3719398340249
2024-12-01,11216,241.17151449275363
2024-12-01,11217,241.4917767094017
2024-12-01,11218,122.05696031746031
2024-12-01,11219,192.17628325508608
2024-12-01,11220,197.95556425877572
2024-12-01,11221,482.9494242550822
2024-12-01,11222,259.6131497869551
2024-12-01,11223,134.62452997489015
2024-12-01,11224,181.31042278127182
2024-12-01,11225,193.71397922312556
2024-12-01,11226,233.00874340789233
2024-12-01,11228,89.29267966360857
2024-12-01,11229,100.8260326547922
2024-12-01,11230,182.0208261774655
2024-12-01,11231,92.78468206157966
2024-12-01,11232,118.63903089887641
2024-12-01,11233,303.0488044758539
2024-12-01,11234,134.6084998421717
2024-12-01,11235,130.658983437663
2024-12-01,11236,92.97945983155167
2024-12-01,11237,337.85367804551544
2024-12-01,11238,294.15461988304094
2024-12-01,11239,71.71431481481481
2024-12-01,11249,275.39490292712065
2024-12-01,11354,208.64608897742366
2024-12-01,11355,132.5322653721683
2024-12-01,11356,78.45647603485838
2024-12-01,11357,136.63696280991738
2024-12-01,11358,139.85319348659004
2024-12-01,11360,60.819913194444446
2024-12-01,11361,154.4539099859353
2024-12-01,11364,79.88909498207884
2024-12-01,11365,306.7258168859649
2024-12-01,11366,13.280878701050622
2024-12-01,11367,234.35119095143045
2024-12-01,11368,256.66431080765636
2024-12-01,11369,380.1814572968491
2024-12-01,11370,135.7171829140461
2024-12-01,11372,146.7270885834288
2024-12-01,11373,162.030129525593
2024-12-01,11374,241.5253925619835
2024-12-01,11375,119.6882328605201
2024-12-01,11377,148.37984515077426
2024-12-01,11378,48.74784496124031
2024-12-01,11379,85.84913910093299
2024-12-01,11385,242.2336019849418
2024-12-01,11412,220.8762051971326
2024-12-01,11413,108.61310747663552
2024-12-01,11414,819.29132260101
2024-12-01,11415,87.12031690140846
2024-12-01,11416,117.84243055555557
2024-12-01,11417,131.13608568075117
2024-12-01,11418,141.83498628257888
2024-12-01,11419,674.4674467518637
2024-12-01,11420,252.53832745887883
2024-12-01,11421,61.673399962462454
2024-12-01,11422,150.35336309523808
2024-12-01,11423,349.3609515951595
2024-12-01,11427,94.66126623376624
2024-12-01,11428,231.87745098039215
2024-12-01,11429,150.31538518518516
2024-12-01,11432,178.75042100694446
2024-12-01,11433,276.6899718915344
2024-12-01,11434,210.814797979798
2024-12-01,11435,141.31518055555557
2024-12-01,11436,90.78282472613458
